Detentor do registro,cnpj,Produto,Registro,Processo,Data Atualização Bulário,Inclusão na Plataforma,idBulaPacienteProtegido,idBulaProfissionalProtegido
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,COMBFIX,105730045,25351579197202270,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1OTgzNyIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.jcAJ7euO-J-c_40lyk_04kK2gqvSQ7biI6Ecn4nyGIBEO7JY_H1iU7LDJC6dixLg25LF98b5asLyTb6HHbomwg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1OTgzOSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.UN1B8wQxybz4ym7x4bdQnt4OSOQYEYK1t8PjwXETk-DRJBr1-_XpWKJX11Q3Zs8YqpBnjF0pq3Qi2XA0o9eXpg
MARJAN INDÚSTRIA E COMÉRCIO LTDA,60726692000181,VITERGAN ZINCO,101550091,2599100773680,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1NzcxMCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.KVidcSDETUUK_8mAShBIblHsRNVMw-lGamtSRZv9pUy5rzHtu9bEvisDNIsdGITE0dhMBVBtuy17W9X1fVjO3A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1NzcxMSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.AgsHdGe6NmGQpejDHTFGyluu4Jy-Iq9LJBwSLRB9U2WKv_qdr6xXCe9EIHYAJDVSZ8tg5JoSJRoXJI8igaPx1Q
EMS S/A,57507378000365,TACFEN,102351270,25351859616201614,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg3MzcyMSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.vAWZKkeylVd8_lvk-YIU6fggSwXfCH83S_pyvByIQusWpwG2sCwjHsskkGfSsN9Ew0I6x6UsAalGNdynkY_eFA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg3MzcyMiIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.xUiNuJ1rkx-ne6HZwWaKJkaaq6hWVKrLen9fxGAvFEZsuv7n2UaJ0xLyQYrZDaILqMTq9Dflc8Aq5-QPc7IzEQ
SUPERA FARMA LABORATÓRIOS S.A,43312503000105,TROL PAR,103720296,25351473079201520,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg3MzgzNCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.2jylzql6oEKnpNX90sS9vqs3J0aOF81EvLDmEzybodHC8iZagaWtND24_LlT87K7vUea7Sb_ZsVPJPgN7pfg-g,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg3MzgzNSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.md8909C_W64wu20Lh40C0jsgmgpw9F4bLis58dAVQbRE7sJC0ab7LvIQcnG4Ggvr_YW2jPg-t1xLzGv8n0vVLw
ELI LILLY DO BRASIL LTDA,43940618000144,TRULICITY,112600190,25351243091201487,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg2MzQwMyIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.bmI2pwLUp8ZIq8iiphz2I7bkzRmCRHB__BEoIHV6o6wVj8BU0HtFKUBnvDPxD_zOFjej3EiJ3vLNdVDJMIsRoQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg2MzQwNSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.GJPyuA_7SUwA2KGiNtZXjaOl803hM7QurIXpnROxFReRYlo63U5QFFKv8-cH-XdqABOEm3p3azNxPmcTds1Fjg
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,NEOPIRIDIN,155840367,25351555095201131,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1NzQ2OSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.T1OVgcI88pGLZj7fVhAU1LOoZr4MeFt1ezmg5HIovE-9lgePp6-4gRMQlQQGBzKhalshURGE14PS6vkn1kHNNg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1NzQ3MCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.lR_EiR9JdRgfn56FpKOmikw6Wo2ZnijOJi0VxgG2fs1-JZRH8vH9EAijoD3rHe-wRYwS1JlUUk4_2LRms0coDg
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,NEOPRAZOL,155840290,25351565561201119,19/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1ODE3NiIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.ldbssOQT6Y6YzPe3EWUZjB4tHQ7D0y9OMntW2kKlr5-MHOtIqoG8f7FXON0ADOsukXS0OMJa8ZD_OdLlehb7Kg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1ODE3NyIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.UkfuPV0NI4YeHOT__lmZWpUZ0eemcJRd1UeUoM-Im0RCTdcZ3D47DgOoTjtSKcXZRtZACWCe8D_7zagFOJr44w
LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,83874628000143,ACLAF,103850115,25351191156201950,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0ODY0MCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.ove6fYdmWDeISbB_EFp8wfIpOVQP1PNV_is_yYYUsyIWiAhwIo8xyS6Zo3jXGeziAjj-eZI0_V9ucHa0VV2vbQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0ODY0MSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.1HKLME5qHRgYi7AFvaqwGflkWUTS-Nqn_cJoVV2aBftkrXngWocrFASUfiBYMmDtJX3nfS6M-uPIjYSFyJliYQ
MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,17875154000120,AZITROMED,109170056,250000204689928,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MTY4NiIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.D9Ub_ZjAsOcq0LiOHcVZX32_mXoBbCmweP61ZnarB3Wn_S8z9DJOC8rAWNp8Qgnx78zRBLSZv3KE_-bm6khTqQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MTY4NyIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.Wf8cW7rHyYFcdlpp5Qxi3zXi-sW8RcEZ2Wztdo14dRx1E4VdrxX7vpGZvbSp1Z8kdHFcKEXQ2J-N3unF8fPhQg
MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,17875154000120,AZITROMICINA,109170097,25351650055201410,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MDUxNCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.-ZuHzbuWV9tydsZvUDsqnBolF7KYAi25Ct0C3A5cd2oltR6o7tGvSnahIJ1eJCux7o3YYSNTJx8d7ZFBBrcFMA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MDUxNSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.GiOQTZPV9P8e-YNFqElmG1M4o8-cKXhOSQ3gIS7ygC78rze4xDzX6LK_cBQBd1pzV2ok3rsHf8CxU-0fqkauzA
GLAXOSMITHKLINE BRASIL LTDA,33247743000110,Bexsero,101070321,25351943506201601,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNDE5MSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.mGliaPPGDi7ZACx-B7xad1gsn-syJmTIExsBGoLZVkX70UHf2-0euXpH-T241zu-9hrSEf4Rw-QUbF7SOYCpqQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNDE5MiIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.OTtZa-eSUbtbLkizmUcerVwpRhuDD9FOUffwWrKP1_IA04IkflZJwjCw-WPRF3EmsF9-XR1OmXHSwCNJxkPLyg
EUROFARMA LABORATÓRIOS S.A.,61190096000192,citrato de tamoxifeno,100431499,25351800717202308,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0MjIzMiIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.qvrj77whninsoR020Ok99iVlNMNRaMV3AjNN53XdfekuB0i2If9KUKNrifuDXH2w9XiooCm2vGOhB_Z7UQYdEQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0MjIzMyIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.TcJTMVzuBJp7JtoIfYDe1WJpwcH1sCbM2nM3M_868UxFbfqopzR6ciVrNT4-4zmGNJQN8m47--VVv5ZyDDzGgg
PFIZER BRASIL LTDA,61072393000133,ELIQUIS,121100464,25351421699201915,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODgxNSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.cpoYl55N9wkZ4MVriHuJF6UgREWANlIwmti9Zl3T95zwx1xmYv5so-jjVWeHrJTP6_0kCXyBXAva3SdZeEzEWQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODgxNiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.oFBHlNHiQxg5xEmAXncD1ktonxkm5w5AsOta8yg9KQhHHNxVgYJBkOMDjdpzGPKMc88qQK2BuugJP5WodT0IFw
GERMED FARMACEUTICA LTDA,45992062000165,ESPIRONOLACTONA,105830285,25351019329200346,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTc2MCIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.vIaQnUu3PHFq_QWgiwrxFUw_TRoTiiRUKGx9NP52R6P416mLTLvaoJKyOdcDBGAIbFW2AufZLgdlCgdWZ1d_hg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTc2MSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.C0m9dH8xfeO0X91vnI-opQ-8KexbNIi5XA6y4BbQJNPMqxytstatAruLKAw0I3HRPiPi5b2pqejP8avvUqglwg
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,FLAVONID,155840254,25351543023201166,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MDI1NyIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.bWeoJ8N8lEH_D00G6HmqYis5k0QxT-kZZ1asXSXmK1UYyu6F4ZPmDhKCJbA-5pAAvJt3dCsj2GZL_Z3P4_Bleg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg1MDI1OCIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.LH5iLcAU00L-gJd4fE9P6MvrJl-mMAZM4XdNGaBAjRpwauRWEqXlLQq6LELY7r3xgVqGYQ2Iv7KaT1oxwvm7GA
FUNDAÇÃO OSWALDO CRUZ,33781055000135,FAR-MANGUINHOS VITAMINA A,110630086,253510178040125,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTQxMSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.aS_YdIiFficSINE1C9ydC24DX3QjdJoNkLMpG96Fe37qdzsbxBf3UxC1x8TNXBJKvR2paf8ieu008dfJZ4Recw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTQxMiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.IIqhSNO_3SeUd6vOGW2ISFfUWiucXcNJQANYHUT5Ii7sO2LOLAQZ0HeRBr4V1ESapezr5z0gkXzbcJLZ3cQMxg
MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,17875154000120,ibuprofeno,109170143,25351372390202443,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTgwNiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.fHWj9nUHyOGWLtHM--srWM9j5CzfhlBFTy8zG1VQeTXoewi39j2VrKKgmzVu37t0PC57akAAsMSgrCDT_jDolA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNTgwNyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.l4B4cInPoZMvrd6L58-cErCqZnoYd2GcE4Cng1QiZTLGBWFN5v5s8DWBC76EzXPIaeFWpVdTh-hZwujKD16-Cw
EUROFARMA LABORATÓRIOS S.A.,61190096000192,ibuprofeno + paracetamol,100431469,25351522641202285,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNDc2MyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.k33mXFg5lx0J3Ocj8B8fN0ULpoh07bnkVWDYu4sWXGE8JGZXpJRvHN3_VrCdv4WLIFuRf-RJnB-ye0tsuHX9Dg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzNDc2NCIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.XE7OnpaCXuWHCW5ghWHe-x5EQTtdawbgOl8QAm1y9QKvC7k3PZyHwEUM5OAXRkKUAuurYLXyKGyg05Ll3xDJaw
UNITED MEDICAL LTDA,68949239000146,Lenvima,125760027,25351174176201885,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODI1MCIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.VD8DJrr7QZgsTxkaBIcbCZaClm2UeyY0QTXblRLjBHWrpQJQGAWZoalWkLX5ZVEJibDOEJ6rQ0oyTK0MtqO53w,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODI1MSIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.a8mBfUJSFWHtH6N5_DyCzGB1fuJ19vrstajqpjUOrK_pV890JMsCuAHq85gRic4Rlq-MmZ46ev8YCv6ZOci9QA
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,61082426000207,MARACUGINA PI (Passiflora incarnata L),178170874,25351836633201837,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODYzNiIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.ngDDcRk_fEuS0xdt91E26rpUTpS4HJqRT_u0FuHrU6T-fZTDO_w8ZofPKQGVOIZkhJUay9iFORjM7mO3WYxqLQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzODYzNyIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.wbtWhS9ilCwgsTHWTehUubJ445g2b8kgkAXRvR6FBbXwzK-t5byHorKyB4KpYuhWEFeO_j0Njy5vkGLt9uG9pA
SUPERA FARMA LABORATÓRIOS S.A,43312503000105,TAM XR,103720314,25351938903202491,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzOTc3OCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.YqgqUrFf7_Lk7C2Cm9io7lgamggZVHrDy8g2E3iRT5lhOekS2ztNbDN-pNaR-2boDsGNBLI9DOSmQTx66u0QBQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgzOTc3OSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.zYaJWyPHXy8UpbjZycdiYbo8aBQyWykqxzAakc_YwfV2LmNf6sFpsdXjCZrhJJfRpigNxA12JA-NdhQNkyjV8g
SUPERA FARMA LABORATÓRIOS S.A,43312503000105,OKÓTICO,103720282,25351088937201887,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0Mjk5NyIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.UUW-D78aXDniEBoZG-IP6aPpAIeWUNnmtyBbTU7wl2l92rRXHq-GNYQ946QiSwwQuZkEcjLHwK4JIFccqQeXpQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0Mjk5OCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.ma_p17hB829Q7UhN42eBsZzg6pm0at9cZlqZezMkSrxgeFfUa_YBZSX9eZwIV-HvdQTabFeGCqHUIxijK2KZLA
ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,61100004000136,MONURIL,100840139,2500100321687,18/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0NTcwOCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.bD80cJf0jHtt6zjJ2yHADcAE3fKYkA56tafJoQpC6FFccIS8ZBNBu70eRfQ5QvD1dgWz9Q7Nzn5bs5BFOpj52A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTg0NTcwOSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.K7DuDrxpdJncISvOL5dXE9_Qj59Spcd1Sg4zkR7ATQefjHTCQHRPkOgzBrHDl2NFLSoFX276MN-tlsvoseohQg
LABORATÓRIO TEUTO BRASILEIRO S/A,17159229000176,cloridrato de nebivolol,103700689,25351025366201616,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyNDc4NiIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.0jg8egXi5hZGK_hf7MzBmtqjdlKyypL9-B8xAQQkJJ6GzQ0HV8bn9r2jIpBLfoQzReXilUa3r13QBU0Y4C0Y5g,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyNDc4NyIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.a7v8MMBrAZ2qouGDmjmYGhbGGeJA3NB-KD0B7X42TuXUWYSSBsN3ZncYTjx2rUPGOitLWiMDtQ-gS54qYGWQbg
EUROFARMA LABORATÓRIOS S.A.,61190096000192,cloridrato de nortriptilina,100430904,25351043629200346,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMTE3MyIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.wtJVUUuEtDWkc9dav6Nh6O94QW61B7Yukqnz6LkehjlCOyTzXK-q62wuvsH5EQeNSwH71CJiBxOwz-sW5l8kMw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMTE3NCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.FRhETKOpORgt6tKu4aWEp5QOZy2JmDZOBy2eh9wfXO1givlYfmVyvEQocQzmyeydvEt0rkntnWtrw3nXnWBNEQ
TEVA FARMACÊUTICA LTDA.,05333542000108,COXDUO,155730069,25351433277202280,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMDk1OCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ._TdYsoCJCDejNII4Ne9nPGI3AO4Ce_gH_-3qL_CYY57Z1_XGCK6mIjSlAHM9UkKLQhvbCDEalhZwbWBeQFeBiw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMDk1OSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.EAswo_8E8iwO_F0SHPfErvkJ0ViUw0jVfqO6AOJ2fBJZXJH1vYv7Q9iX4KDlwBO6BIukqIjm5UvdnZWjWJCyZQ
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,LOXAM,155840368,25351555626201195,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxODM2OSIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.UaqnFA2-cVmDyVEw4dkFLmeXLGrVP4D8T_KVuLAitfgl2fe7zP7rQQp3c1owbWG6JmN75dwSncsFTYerD7JjeA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxODM3MCIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.G1i09uuFyWEtM7xU3TKGfoBgWK4uhB9DvcXBDEyfhDp4kMjmuAWe2yhtz5vmyb9xyPu5SYAG-UFW5ivx5MKpxg
RANBAXY FARMACÊUTICA LTDA,73663650000190,vildagliptina,123520293,25351110918202221,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMjE3MyIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.8yxa-nta-uzuIzFiO5vFV18iiO6YasV-svhNd1jOd0q47lDLJLXe64acneljHchRviOEhPLYSkUW7qx0_5iWXA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMjE3NCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.zVoFiNcGiBbydNpFpmN4Tw4T2m_PRPEzf52O9GSv_tfjnJtd6u7Qn8ntzzScrY8E3SOb_iC-tp4K32oKoOFzKg
GERMED FARMACEUTICA LTDA,45992062000165,RISPERIDONA,105830532,25351410447200638,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxNzY4MiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.VExbfm6JJk7vNNUyAeUJPM7QkTWhG4Raf4Lr9BT1mL1T8ie1EKpi_z2QlbHmvLU0cPt9zeTbXAdBOSpw4GwYsA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxNzY4MyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.hy8J5SGZZAfFtvkxPzx5j9T_UZEmcGU1OKKBCvuapWErUxRnE-QhuO3CXprCbJ4kl8C6ldD70IXZzIicm35t1Q
LABORATÓRIO TEUTO BRASILEIRO S/A,17159229000176,OPPY,103700787,25351228111202162,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxMTU5NiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.d65ZtjCkjjJGkSOrymjjaQovwCFphgoBPSFaJB96tmHfEPHyfjKp4PHiarGVvMbgUuH64fGV91HiCSimbjtTBg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxMTU5NyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.rpkwBBxF_DEInPc6Ii6Dy12aBnMUUgy9xB_mbYJUUNPy2KAcJ2vX9vMicHLSJpCU7NVxYDNhQaGGHaPEI3Oi3A
GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,10555143000113,Palexis® LP,186100015,25351743633201894,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyODk1MSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.38UIuapMAYjd3htkWVOwtzz3pNvz9cBC1uFObhQbWtYH92-GUi2GRblMrkgggpEX8N8UkMZEdcTm7gZybQqXBA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyODk1MiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.YZGZsSrztRL8mYxBKdkYsrkn3Mm0Y5zQXdDAD2jst72pXl0kxdBywjXyqVq8PFvlEYoiAvzKf55NA72y_pNiCg
NATULAB LABORATÓRIO S.A,02456955000183,SEAKALM,138410039,25351088705200950,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxMjUyNyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.WnZWh739QFf0Z-2TdM0Uta5gkc5r-PW8_5KyzLecmkmnTXOJ5dZJ0qwu84VYR57Ri2Q_XqgPxJGPdUz7dg8LRA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgxMjUyOCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.IV4dLuR7ZGpCeyuN8o_pXt8pxabgrJJXY0L_1BXy9FfnMbxER41DBnQeIEXy3H6q-CtJ52lmJ74SPlYfwINW2Q
TEVA FARMACÊUTICA LTDA.,05333542000108,parecoxibe sódico,155730067,25351353674202279,17/09/2024,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMzUxMyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.qsEDSeqf8WL3xzdKycwGjAuZ0a9_Zkx7KVtk31eeCnYvblpVowlAFOmAb-p5oaTljKUhiqz5iDXNyHc1h-Y-ww,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNTgyMzUxNCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.dtkO_VpwryOfyzhODEydjPf_v_0pbhj5gxUmVOnOcm569dih9g14VwWgrzRodatnS0cItkqKF0joAzh9DVvQ5g
